Para 0: Indent=0, Text='በጌቴ ሴማኒ'
Para 1: Indent=0, Text='ቅኝት -  ሠላምታ'
Para 2: Indent=0, Text='423 224 542 222 /2/ '
Para 3: Indent=0, Text='423 115 113 224 542 222 '
Para 4: Indent=0, Text='በጌቴ ሴማኒ በአትክልቱ ቦታ /2/'
Para 5: Indent=0, Text='ለእኛ ሲል ጌታችን በዓለም ተንገላታ በዓለም ተንገላታ'
Para 6: Indent=0, Text='       አዳምና ሄዋን ባጠፉት ጥፋት /2/'
Para 7: Indent=0, Text='       በእኛም ነበረብን የዘላለም ሞት የዘላለም ሞት '
Para 8: Indent=0, Text='መስቀል ተሸክሞ ሲወጣ ተራራ /2/'
Para 9: Indent=0, Text='ይገርፉት ነበረ ሁሉም በየተራ ሁሉም በየተራ '
Para 10: Indent=0, Text='      ድንግል አልቻለችም እንባዋን ልትገታ /2/'
Para 11: Indent=0, Text='      እያየች በመስቀል ልጇ ሲንገላታ ልጇ ሲንገላታ'
Para 12: Indent=0, Text='በአምላክነቱ ሳይፈርድባቸው /2/'
Para 13: Indent=0, Text='እንዲህ ሲል ጸለየ አባት ሆይ ማራቸው አባት ሆይ ማራቸው'
Para 14: Indent=0, Text='      በረቂቅ ስልጣኑ ሁሉን የፈጠረ /2/'
Para 15: Indent=0, Text='      በሰዎች ተገርፎ ሞተ ተቀበረ ሞተ ተቀበረ'
Para 16: Indent=0, Text='ፍቅሩን የገለፀው ተወልዶ በሥጋ /2/'
Para 17: Indent=0, Text='ኢየሱስ ጌታ ነው አልፋና ኦሜጋ አልፋና ኦሜጋ'
Para 18: Indent=0, Text=''
Para 19: Indent=0, Text='በመስቀል ተሰቅሎ '
Para 20: Indent=0, Text='ቅኝት -  ሠላምታ'
Para 21: Indent=0, Text='423  224  /542  222 በበገና/(2X) '
Para 22: Indent=0, Text='423  115  113  224  542  222'
Para 23: Indent=0, Text=' '
Para 24: Indent=0, Text='      በመስቀል ተሰቅሎ እንዲያ እየቃተተ'
Para 25: Indent=0, Text='      ዓለምን ለማዳን የማይሞተው ሞተ'
Para 26: Indent=0, Text='ከሞት ሊታደገን በመጣልን ፈጥኖ'
Para 27: Indent=0, Text='መስቀል አሸከሙት ውለታው ይህ ሆኖ'
Para 28: Indent=0, Text='      መከራውን ሳስብ ሳስታውስ ቀኑን'
Para 29: Indent=0, Text='      ይቆስላል ይደማል ልቤ በሐዘን'
Para 30: Indent=0, Text='መች ለራሱ ነበር ይህ ሁሉ መከራ '
Para 31: Indent=0, Text='መስቀል ተሸክሞ የወጣው ተራራ'
Para 32: Indent=0, Text='      ሲያጎርሱት ሚናከስ ሰው ክፉ ነውና'
Para 33: Indent=0, Text='      እውሩን ቢያበራ ጎባጣን ቢያቀና '
Para 34: Indent=0, Text='      ጌታዬን ሰቀሉን አይሁድ ጨከኑና'
Para 35: Indent=0, Text='ምነው አያሳዝን የአይሁድ ክፋት'
Para 36: Indent=0, Text='የዝናቡን ጌታ ውሃ ሲነፍጉት '
Para 37: Indent=0, Text='      በተንኮል በኃጢያት ቀሩ እንደሰከሩ '
Para 38: Indent=0, Text='      ሙታን ከመቃብር ተነስተው ሲያስተምሩ'
Para 39: Indent=0, Text='እናታችን ሔዋን ወዮ በይ አልቅሺ'
Para 40: Indent=0, Text='ያንቺን ሕመም ታሞ ከሞት ሊያድንሽ'
Para 41: Indent=0, Text='የህያዋን ጌታ ተሰቀለልሽ'
Para 42: Indent=0, Text='      አዬ ጉድ አዬ ጉድ አለም የኋላሽ '
Para 43: Indent=0, Text='      መድኃኒት ክርስቶስ በግፍ ሞተብሽ'
Para 44: Indent=0, Text='በመስቀል ተሰቅሎ ስጋውን ሲቆርስ'
Para 45: Indent=0, Text='በችንካር ተወግቶ ደሙንም ሲያፈስ'
Para 46: Indent=0, Text='ዋለች በመከራ ድንግል ስታለቅስ '
Para 47: Indent=0, Text='      ሰውነትሽ ራደ ሐዘን ከበበሽ'
Para 48: Indent=0, Text='      ስቃይ መከራውም ዳግም ፀናብሽ'
Para 49: Indent=0, Text='      ተሰቅሎ ስታይው አንድ አምላክ ልጅሽ'
Para 50: Indent=0, Text='ቢፈስም እንባዬ ሆኖ መንታ መንታ '
Para 51: Indent=0, Text='መች ዋጋ ይሆናል ለአንዲቱ ጠብታ'
Para 52: Indent=0, Text='ላለቀሽው ለቅሶ ድንግል የዛን ለታ '
Para 53: Indent=0, Text='      ባለቀሽው ለቅሶ በልጅሽ ህመም '
Para 54: Indent=0, Text='      ከሃጢያት ነፃሁኝ ዳንኩኝ ከገሃነም'
Para 55: Indent=0, Text=''
Para 56: Indent=0, Text='አባታችን   (መጋቤ ስብሐት አለሙ አጋ)'
Para 57: Indent=0, Text='ቅኝት -  ሰላምታ '
Para 58: Indent=0, Text='4245  313  15423  312  45 '
Para 59: Indent=0, Text='4245  313  15442  222 '
Para 60: Indent=0, Text=''
Para 61: Indent=0, Text='አባታችን በሰማያት ላይ ያለህ '
Para 62: Indent=0, Text='ተለይቶ ይመስገን ክቡር ስምህ '
Para 63: Indent=0, Text='       መንግሥትህን የምንፈልጋት ከጥንቱ '
Para 64: Indent=0, Text='       በልጅነት ትምጣ ትሰጠን አቤቱ '
Para 65: Indent=0, Text='ፈቃድህም ይህ እንዲደረግ ይሁን'
Para 66: Indent=0, Text='በሰማይ ሞተን ተነስተን ከደይን '
Para 67: Indent=0, Text='       እንድንኖር ምስጋናህ ምግብ ሆኖን '
Para 68: Indent=0, Text='       ዛሬም በምድር በሥጋ ሕይወት ሳለን '
Para 69: Indent=0, Text='ምግባችንን በየዕለቱ አውቀህ ስጠን '
Para 70: Indent=0, Text='ይቅር በለን የበደልንህም ቢኖር '
Para 71: Indent=0, Text='       ወንድማችን የበደለንን ነገር'
Para 72: Indent=0, Text='       እንደአቅማችን እኛም እንድንል ይቅር '
Para 73: Indent=0, Text='በገሃነም በክፉ ሁሉ መዓት '
Para 74: Indent=0, Text='አትጣለን አድነን እንጂ ከሞት '
Para 75: Indent=0, Text='       ይህቺን መንግስት የማያገኛት ህልፈት '
Para 76: Indent=0, Text='       ጌትነትም ከሀሊነትም ክብርም '
Para 77: Indent=0, Text='ናቸውና የአንተ ገንዘቦች ሁሉም '
Para 78: Indent=0, Text='ለዓለም ወለዓለም ዓለም አሜን፡፡'
Para 79: Indent=0, Text='       የተላከው ቅዱስ ገብርኤል ከጌታ  '
Para 80: Indent=0, Text='       ሰላም ለኪ ብሎ በሰጠሽ ሰላምታ '
Para 81: Indent=0, Text='እኔ ባሪያሽ ልብሴን ስታጠቅ ስፈታ '
Para 82: Indent=0, Text='ሰላም ልልሽ ይገባኛል ጠዋት ማታ '
Para 83: Indent=0, Text='       ማርያም ሆይ እመቤቴ ሆይ ድንግል '
Para 84: Indent=0, Text='       በሥጋሽም በህሊናሽም ድንግል'
Para 85: Indent=0, Text='የአሸናፊ የእግዚአብሔር እናት ድንግል '
Para 86: Indent=0, Text='እንዳለሽ ቅዱስ ገብርኤል ሰላም '
Para 87: Indent=0, Text='       ሰላም ለኪ እንደርሱ ሁሉ እኔም '
Para 88: Indent=0, Text='       የሌለብሽ የነፍስ የሥጋ መርገም '
Para 89: Indent=0, Text='ብሩክ ነው የማሕፀንሽ ፍሬም '
